,displacement_right
131,4.946290290817549e-06
132,0.0
133,0.0
134,9.553858264476768e-06
135,7.1027406408887195e-06
136,7.1027406408887195e-06
137,4.870202806260751e-06
138,4.870202806260751e-06
139,6.766905869126007e-06
140,4.853267126735276e-06
141,4.853267126735276e-06
142,0.0
143,0.0
144,4.870202806260751e-06
145,4.8611374584378416e-06
146,4.8611374584378416e-06
147,4.870202806260751e-06
148,4.870202806260751e-06
149,6.766905869126007e-06
150,6.766905869126007e-06
151,6.8635561924485295e-06
152,6.766905869126007e-06
153,6.766905869126007e-06
154,1.0529036055045312e-05
155,1.0529036055045312e-05
156,4.784925027710047e-06
157,4.8611374584378416e-06
158,4.8611374584378416e-06
159,4.794134489674709e-06
160,4.794134489674709e-06
161,6.982488046069733e-06
162,6.982488046069733e-06
163,1.0340222287286132e-05
164,1.0340222287286132e-05
165,6.746014934159851e-06
166,6.659147099995438e-06
167,6.659147099995438e-06
168,4.776929132238384e-06
169,4.776929132238384e-06
170,6.755597965306663e-06
171,6.755597965306663e-06
172,0.0
173,0.0
174,6.755597965306663e-06
175,6.766905869126007e-06
176,6.766905869126007e-06
177,4.946290290817549e-06
178,4.946290290817549e-06
179,4.8611374584378416e-06
180,4.8611374584378416e-06
181,5.0223960721816984e-06
182,9.667678819029886e-06
183,9.667678819029886e-06
184,1.0311744617438489e-05
185,1.0311744617438489e-05
186,6.840381485230283e-06
187,6.840381485230283e-06
188,7.062883937339178e-06
189,7.062883937339178e-06
190,7.062883937339178e-06
191,1.0301758834875994e-05
192,1.1167400045704882e-05
193,1.1167400045704882e-05
194,6.2987751294480275e-06
195,4.832014056283699e-06
196,4.832014056283699e-06
197,6.510889497392543e-06
198,1.0495468373263936e-05
199,1.0495468373263936e-05
200,6.755597965306663e-06
201,6.755597965306663e-06
202,1.0324569289230392e-05
203,4.841133939936576e-06
204,4.841133939936576e-06
205,1.0324569289230392e-05
206,1.0324569289230392e-05
207,4.841133939936576e-06
208,1.0130494643175288e-05
209,1.0130494643175288e-05
210,1.4558791510159168e-05
211,1.0653972957395828e-05
212,1.0653972957395828e-05
213,6.616618849531015e-06
214,6.616618849531015e-06
215,4.841133939936576e-06
216,9.376148566286085e-06
217,9.376148566286085e-06
218,1.0804711898084846e-05
219,1.0466008335760363e-05
220,1.0466008335760363e-05
221,6.732051628251095e-06
222,6.732051628251095e-06
223,6.623725853566397e-06
224,6.732051628251095e-06
225,6.732051628251095e-06
226,1.048285278067644e-05
227,1.0653972957395828e-05
228,1.0653972957395828e-05
229,1.0473030146906372e-05
230,1.0324569289230392e-05
231,1.0324569289230392e-05
232,1.0473030146906372e-05
233,1.0644308235559301e-05
234,1.0644308235559301e-05
235,1.4558791510159168e-05
236,1.0311744617438489e-05
237,1.0644308235559301e-05
238,1.0644308235559301e-05
239,4.680541218367923e-06
240,1.4811101272897282e-05
241,6.629938232633416e-06
242,6.629938232633416e-06
243,1.0311744617438489e-05
244,6.732051628251095e-06
245,1.0653972957395828e-05
246,1.0653972957395828e-05
247,1.3247451707132794e-05
248,1.4583009089709275e-05
249,1.0473030146906372e-05
250,1.0473030146906372e-05
251,1.0466008335760363e-05
252,6.623725853566397e-06
253,4.683681467777452e-06
254,4.683681467777452e-06
255,4.60389411516254e-06
256,4.683681467777452e-06
257,4.683681467777452e-06
258,7.712486382631004e-06
259,7.712486382631004e-06
260,7.052884568562826e-06
261,1.975615773527083e-05
262,7.171136844168634e-06
263,7.171136844168634e-06
264,7.050382510457047e-06
265,1.2180034629201237e-05
266,1.2180034629201237e-05
267,7.629685919394026e-06
268,7.629685919394026e-06
269,1.1672102369627624e-05
270,1.1672102369627624e-05
271,1.1672102369627624e-05
272,7.30600860182316e-06
273,7.30600860182316e-06
274,1.1338562920162422e-05
275,1.1338562920162422e-05
276,1.1008274361111565e-05
277,1.4034082503295025e-05
278,1.4034082503295025e-05
279,5.228928564117902e-06
280,5.228928564117902e-06
281,7.77627723439909e-06
282,7.77627723439909e-06
283,6.472840283467071e-06
284,6.472840283467071e-06
285,1.614480528096476e-05
286,1.8282883351530024e-05
287,1.8282883351530024e-05
288,2.1194618589770784e-05
289,2.1194618589770784e-05
290,1.5770729332765757e-05
291,1.5770729332765757e-05
292,1.5770729332765757e-05
293,1.724564382710438e-05
294,1.724564382710438e-05
295,1.1158180040556947e-05
296,1.1158180040556947e-05
297,1.5568050899807993e-05
298,9.817387046877414e-06
299,9.817387046877414e-06
300,6.727682151819935e-06
301,6.727682151819935e-06
302,6.727682151819935e-06
303,5.569330594762325e-06
304,5.569330594762325e-06
305,4.3773218051882715e-06
306,4.3773218051882715e-06
307,1.521034530773533e-05
308,1.521034530773533e-05
309,1.4558791510159166e-05
310,8.061466890182069e-06
311,8.061466890182069e-06
312,1.1640568021279945e-05
313,1.1640568021279945e-05
314,1.1640568021279945e-05
315,5.427065906406324e-06
316,1.2125591688833276e-05
317,1.2125591688833276e-05
318,3.999607624493698e-06
319,7.82227549363985e-06
320,7.82227549363985e-06
321,7.82227549363985e-06
322,5.440054515106446e-06
323,5.440054515106446e-06
324,4.071021818563612e-06
325,4.071021818563612e-06
326,1.0140649075810148e-05
327,1.0140649075810148e-05
328,1.6258062790702436e-05
329,1.6258062790702436e-05
