,displacement_left
97,1.1230419027326218e-05
98,1.1230419027326218e-05
99,4.853267126735276e-06
100,7.090309488532016e-06
101,7.090309488532016e-06
102,4.853267126735276e-06
103,4.853267126735276e-06
104,0.0
105,4.929616016524526e-06
106,4.929616016524526e-06
107,7.210395185924374e-06
108,4.8611374584378416e-06
109,4.8611374584378416e-06
110,6.8635561924485295e-06
111,4.8465976328735385e-06
112,4.8465976328735385e-06
113,4.8465976328735385e-06
114,6.623725853566397e-06
115,4.770152905930152e-06
116,4.678656057030113e-06
117,4.678656057030113e-06
118,4.908094427381867e-06
119,4.75718967121958e-06
120,4.6013385256705e-06
121,1.4954350208429123e-05
122,1.4954350208429123e-05
123,6.724184526342144e-06
124,6.724184526342144e-06
125,1.0976172399121906e-05
126,1.4496042168851096e-05
127,1.4496042168851096e-05
128,1.4496042168851096e-05
129,9.980179630346677e-06
130,5.14045006707674e-06
131,5.14045006707674e-06
132,9.835342412205421e-06
133,7.598790121619737e-06
134,7.598790121619737e-06
135,7.598790121619737e-06
136,7.378101212460087e-06
137,7.378101212460087e-06
138,1.1158180040556947e-05
139,7.057052694077987e-06
140,9.826967324391893e-06
141,9.826967324391893e-06
142,0.0
143,0.0
144,0.0
145,7.165393698357576e-06
146,1.0610828089286094e-05
147,7.187520545770966e-06
148,7.187520545770966e-06
149,1.5901269966601258e-05
150,1.9976852507304302e-05
151,9.693195265747077e-06
152,9.693195265747077e-06
153,0.0
154,4.688074283143043e-06
155,0.0
156,4.683681467777452e-06
157,0.0
158,0.0
159,7.057052694077987e-06
160,0.0
161,5.219922867764749e-06
162,5.158723219807279e-06
163,4.990089815173338e-06
164,4.990089815173338e-06
165,1.5309009708144365e-05
166,1.5309009708144365e-05
167,1.5659768603294244e-05
168,5.30042332220042e-06
169,1.1008274361111565e-05
170,1.0311744617438489e-05
171,4.833839409514943e-06
172,4.60708660851835e-06
173,1.0815592778886562e-05
174,1.0815592778886562e-05
175,1.0815592778886562e-05
176,1.0815592778886562e-05
177,6.732051628251095e-06
178,4.535036133896382e-06
179,4.535036133896382e-06
180,0.0
181,1.3600136287766116e-05
182,1.3600136287766116e-05
183,4.760279357634288e-06
184,4.680541218367923e-06
185,4.617287753825169e-06
186,4.617287753825169e-06
187,4.764601552636309e-06
188,6.623725853566397e-06
189,4.60708660851835e-06
190,4.60708660851835e-06
191,4.683681467777452e-06
192,1.0666386160727978e-05
193,1.0666386160727978e-05
194,4.611552386242005e-06
195,9.95185361400469e-06
196,0.0
197,0.0
198,1.0311744617438489e-05
199,3.303862172553726e-05
200,3.303862172553726e-05
201,7.3948216920556105e-06
202,7.619658526196762e-06
203,7.619658526196762e-06
204,1.0484816203157829e-05
205,1.8351753540088086e-05
206,1.8351753540088086e-05
207,2.31849430499307e-05
208,7.387660406120271e-06
209,7.30600860182316e-06
210,7.30600860182316e-06
211,1.60296469774103e-05
212,1.4973019203113333e-05
213,1.4973019203113333e-05
214,9.935292809638604e-06
215,1.1158180040556947e-05
216,1.4636146714006275e-05
217,1.4636146714006275e-05
218,1.3990221625417076e-05
219,1.6761410261229853e-05
220,1.6761410261229853e-05
221,5.318699743353427e-06
222,5.318699743353427e-06
223,4.990089815173338e-06
224,4.990089815173338e-06
225,2.8001979399648613e-05
226,7.171136844168634e-06
227,7.171136844168634e-06
228,2.5609295577046232e-05
229,2.5609295577046232e-05
230,2.0122637696312315e-05
231,2.0122637696312315e-05
232,0.0
233,1.627722374348136e-05
234,1.1680916731592295e-05
235,1.1147633554230087e-05
236,1.1147633554230087e-05
237,1.6506845472534527e-05
238,1.6506845472534527e-05
239,1.4838870872452646e-05
240,1.4838870872452646e-05
241,0.0
242,2.1062121350030003e-05
243,4.937364646929915e-06
244,4.929616016524526e-06
245,4.929616016524526e-06
246,1.176244895206133e-05
247,1.176244895206133e-05
248,1.1692239718857997e-05
249,1.1692239718857997e-05
250,5.2424081015789145e-06
251,3.374384635355218e-05
252,4.994213126826076e-06
253,9.820980746118104e-06
254,9.820980746118104e-06
255,5.26032708773606e-06
256,5.26032708773606e-06
257,1.0064679366587507e-05
258,1.0064679366587507e-05
259,1.089955131342004e-05
260,1.089955131342004e-05
261,1.089955131342004e-05
262,2.8439618244580364e-05
263,2.8439618244580364e-05
264,1.0587523413357834e-05
265,1.9939133611238836e-05
266,1.9939133611238836e-05
267,1.798679388771071e-05
268,2.5397137907262755e-05
269,2.5397137907262755e-05
270,2.5397137907262755e-05
271,3.015057084098478e-05
272,3.015057084098478e-05
273,7.701039555391434e-06
274,2.3014871331998107e-05
275,2.3014871331998107e-05
