,displacement_left
425,3.1385551889835425e-05
426,3.118503201837394e-05
427,3.118503201837394e-05
428,2.6714529801281044e-05
429,2.6714529801281044e-05
430,2.6723834471991942e-05
431,3.118503201837394e-05
432,2.998222578556105e-05
433,3.118503201837394e-05
434,2.6553097953733772e-05
435,3.118503201837394e-05
436,3.4865925736795806e-05
437,3.949766355554179e-05
438,4.041499130350322e-05
439,4.039886689035124e-05
440,3.949766355554179e-05
441,2.999280339244703e-05
442,3.4641742565278915e-05
443,3.4417564348931376e-05
444,3.4417564348931376e-05
445,3.4417564348931376e-05
446,2.9799953736368486e-05
447,3.099688335435792e-05
448,3.4641742565278915e-05
449,3.4641742565278915e-05
450,2.175274713002658e-05
451,2.175274713002658e-05
452,2.175274713002658e-05
453,2.175274713002658e-05
454,2.4320310640051443e-05
455,2.4320310640051443e-05
456,2.4328085095684956e-05
457,2.1759700814540415e-05
458,2.8186253483516733e-05
459,2.6031362124354078e-05
460,2.4328085095684956e-05
461,2.4328085095684956e-05
462,2.1759700814540415e-05
463,2.1759700814540415e-05
464,1.754323164926867e-05
465,2.065053860935882e-05
466,2.065053860935882e-05
467,2.1617869588634566e-05
468,2.1617869588634566e-05
469,2.065053860935882e-05
470,2.064306473333065e-05
471,3.243869912112037e-05
472,3.265136845741e-05
473,2.8392926554050168e-05
474,3.266457089680694e-05
475,3.266457089680694e-05
476,3.266457089680694e-05
477,3.0784005401673536e-05
478,2.6222234655304465e-05
479,2.6233943873229885e-05
480,2.4990486299677843e-05
481,3.099688335435792e-05
482,3.7118527158043806e-05
483,3.7118527158043806e-05
484,3.5465208784939004e-05
485,3.5465208784939004e-05
486,3.548253773878004e-05
487,3.101054625160412e-05
488,3.1025503473511385e-05
489,3.101054625160412e-05
490,3.101054625160412e-05
491,3.101054625160412e-05
492,3.0810204559948934e-05
493,3.101054625160412e-05
494,3.2695124498713454e-05
495,3.2695124498713454e-05
496,3.548253773878004e-05
497,3.1025503473511385e-05
498,3.290751584377003e-05
499,3.290751584377003e-05
500,3.101054625160412e-05
501,3.101054625160412e-05
502,3.289165131421252e-05
503,3.289165131421252e-05
504,3.101054625160412e-05
505,3.101054625160412e-05
506,3.290751584377003e-05
507,3.101054625160412e-05
508,3.710039922005627e-05
509,3.5465208784939004e-05
510,3.101054625160412e-05
511,3.101054625160412e-05
512,3.290751584377003e-05
513,3.5465208784939004e-05
514,3.5465208784939004e-05
515,3.5465208784939004e-05
516,3.735965344309362e-05
517,3.5465208784939004e-05
518,3.290751584377003e-05
519,3.1025503473511385e-05
520,3.7118527158043806e-05
521,3.101054625160412e-05
522,3.101054625160412e-05
523,3.290751584377003e-05
524,3.101054625160412e-05
525,3.1025503473511385e-05
526,3.569581939023551e-05
527,3.569581939023551e-05
528,3.569581939023551e-05
529,3.467084471899405e-05
530,4.043280554202111e-05
531,4.0171591934400935e-05
532,4.043280554202111e-05
533,4.043280554202111e-05
534,4.043280554202111e-05
535,4.043280554202111e-05
536,4.0171591934400935e-05
537,3.569581939023551e-05
538,4.043280554202111e-05
539,4.043280554202111e-05
540,4.043280554202111e-05
541,4.043280554202111e-05
542,3.9275458567241246e-05
543,4.043280554202111e-05
544,4.0171591934400935e-05
545,4.0171591934400935e-05
546,4.0171591934400935e-05
547,4.0171591934400935e-05
548,4.0171591934400935e-05
549,4.0191220513681935e-05
550,4.0191220513681935e-05
551,4.043280554202111e-05
552,4.043280554202111e-05
553,4.4913205164851384e-05
554,3.9530845116025246e-05
555,3.9530845116025246e-05
556,3.9530845116025246e-05
557,4.043280554202111e-05
558,4.043280554202111e-05
559,4.043280554202111e-05
560,4.043280554202111e-05
561,4.043280554202111e-05
562,4.043280554202111e-05
563,4.043280554202111e-05
564,3.569581939023551e-05
565,3.569581939023551e-05
566,3.95134282711076e-05
567,4.043280554202111e-05
568,3.95134282711076e-05
569,3.95134282711076e-05
570,4.4093810030067896e-05
571,4.48931586743372e-05
572,4.4093810030067896e-05
573,4.48931586743372e-05
574,4.0153661808200927e-05
575,4.48931586743372e-05
576,4.041499130350322e-05
577,4.041499130350322e-05
578,4.041499130350322e-05
579,3.9242061062419764e-05
580,3.217701785333593e-05
581,3.217701785333593e-05
582,3.217701785333593e-05
583,3.217701785333593e-05
584,3.217701785333593e-05
585,3.217701785333593e-05
586,3.217701785333593e-05
587,3.217701785333593e-05
588,3.217701785333593e-05
589,3.217701785333593e-05
590,3.217701785333593e-05
591,3.217701785333593e-05
592,3.217701785333593e-05
593,3.217701785333593e-05
594,3.217701785333593e-05
595,3.217701785333593e-05
596,3.217701785333593e-05
597,3.217701785333593e-05
598,3.217701785333593e-05
599,4.983034043105638e-05
600,4.525358403508606e-05
601,3.351496014114764e-05
602,3.159820744933646e-05
603,3.330235435504861e-05
604,2.689457462117194e-05
605,3.0185657229424956e-05
606,3.1385551889835425e-05
607,3.1385551889835425e-05
608,3.507789613730967e-05
609,3.1385551889835425e-05
610,3.017514722566759e-05
611,2.5456754309628737e-05
612,3.328940485887733e-05
613,3.328940485887733e-05
614,3.328940485887733e-05
615,3.118503201837394e-05
616,3.1385551889835425e-05
617,3.1385551889835425e-05
618,3.1385551889835425e-05
619,3.118503201837394e-05
620,3.118503201837394e-05
621,3.118503201837394e-05
622,3.118503201837394e-05
623,3.1385551889835425e-05
624,3.330235435504861e-05
625,3.5665856889139795e-05
626,3.5665856889139795e-05
627,3.5910811421172996e-05
628,3.5896667590916924e-05
629,3.5896667590916924e-05
630,3.949766355554179e-05
631,3.4641742565278915e-05
632,3.4655569135488005e-05
633,3.4417564348931376e-05
634,3.4417564348931376e-05
635,3.4641742565278915e-05
636,3.4641742565278915e-05
637,3.098451649400464e-05
638,3.098451649400464e-05
639,3.4641742565278915e-05
640,3.4641742565278915e-05
641,3.9242061062419764e-05
642,3.9242061062419764e-05
643,3.4417564348931376e-05
644,3.4641742565278915e-05
645,3.4641742565278915e-05
646,3.4641742565278915e-05
647,3.9242061062419764e-05
648,3.9242061062419764e-05
649,3.4417564348931376e-05
650,3.8986464330182704e-05
651,3.8986464330182704e-05
652,3.8986464330182704e-05
653,3.8986464330182704e-05
654,3.8972168634057766e-05
655,3.440510788888442e-05
656,3.8986464330182704e-05
657,3.8986464330182704e-05
658,3.8986464330182704e-05
659,3.8986464330182704e-05
660,3.9227858512790496e-05
661,3.9227858512790496e-05
662,3.9227858512790496e-05
663,3.987600382452225e-05
664,3.987600382452225e-05
665,3.9242061062419764e-05
666,4.013743241127229e-05
667,3.8972168634057766e-05
668,3.8972168634057766e-05
669,3.9227858512790496e-05
670,4.3772849698871173e-05
671,4.012290580740952e-05
672,4.012290580740952e-05
673,3.9215322579756475e-05
674,3.9215322579756475e-05
675,4.012290580740952e-05
676,4.012290580740952e-05
677,4.012290580740952e-05
678,3.54222265784708e-05
679,3.54222265784708e-05
680,3.54222265784708e-05
681,3.54222265784708e-05
682,3.54222265784708e-05
683,3.54222265784708e-05
684,3.54222265784708e-05
685,4.011008384670606e-05
686,3.541090680020254e-05
687,4.011008384670606e-05
688,3.439411314828744e-05
689,3.418085303028624e-05
690,3.520425089090504e-05
691,3.96145812467569e-05
692,3.96145812467569e-05
693,3.520425089090504e-05
694,3.9861381948875255e-05
695,3.9861381948875255e-05
696,3.9861381948875255e-05
697,4.375867715361948e-05
698,3.681390536330684e-05
699,3.681390536330684e-05
700,3.681390536330684e-05
701,3.056238582688794e-05
702,3.4960461758393326e-05
703,3.394546223871725e-05
704,3.057228436185988e-05
705,3.057228436185988e-05
706,3.517994800091122e-05
707,3.517994800091122e-05
708,3.517994800091122e-05
709,3.056238582688794e-05
710,3.0763030010156005e-05
711,3.0763030010156005e-05
712,3.0763030010156005e-05
713,3.0763030010156005e-05
714,3.242680438295185e-05
715,3.242680438295185e-05
716,3.056238582688794e-05
717,3.4948992417467335e-05
718,3.517994800091122e-05
719,3.0763030010156005e-05
720,3.056238582688794e-05
721,3.056238582688794e-05
722,3.056238582688794e-05
723,3.056238582688794e-05
724,3.056238582688794e-05
725,3.056238582688794e-05
726,3.241630540114813e-05
727,3.241630540114813e-05
728,2.602293382552938e-05
729,3.056238582688794e-05
730,2.619377619147677e-05
731,3.8959550428313284e-05
732,3.9227858512790496e-05
733,3.8959550428313284e-05
734,3.8959550428313284e-05
735,4.3772849698871173e-05
736,4.406003604296159e-05
737,3.9227858512790496e-05
738,3.9227858512790496e-05
739,3.9227858512790496e-05
740,3.9227858512790496e-05
741,4.375867715361948e-05
742,4.375867715361948e-05
743,3.8959550428313284e-05
744,4.375867715361948e-05
745,4.3772849698871173e-05
746,4.3772849698871173e-05
747,3.9215322579756475e-05
748,4.375867715361948e-05
749,4.375867715361948e-05
750,4.375867715361948e-05
751,3.9215322579756475e-05
