,displacement_right
437,1.6088508926667965e-05
438,1.6088508926667965e-05
439,1.6088508926667965e-05
440,1.6088508926667965e-05
441,1.6088508926667965e-05
442,1.6088508926667965e-05
443,1.6088508926667965e-05
444,1.6088508926667965e-05
445,1.6088508926667965e-05
446,1.7663892132521496e-05
447,1.549225824700232e-05
448,1.549225824700232e-05
449,1.5392002700836768e-05
450,1.5392002700836768e-05
451,1.754958322255364e-05
452,1.754958322255364e-05
453,1.754958322255364e-05
454,1.754958322255364e-05
455,1.0812899707040122e-05
456,1.0812899707040122e-05
457,1.0883789485803333e-05
458,1.0883789485803333e-05
459,1.3677356474085676e-05
460,1.3677356474085676e-05
461,9.731234038273982e-06
462,1.0808934794317283e-05
463,1.0808934794317283e-05
464,1.0808934794317283e-05
465,1.528119291344397e-05
466,1.528119291344397e-05
467,1.4596851057410973e-05
468,1.4596851057410973e-05
469,1.0879850407270208e-05
470,1.0879850407270208e-05
471,1.0879850407270208e-05
472,1.0879850407270208e-05
473,1.0879850407270208e-05
474,1.0879850407270208e-05
475,1.528119291344397e-05
476,1.528119291344397e-05
477,1.5381515005078003e-05
478,1.742888365926766e-05
479,1.742888365926766e-05
480,1.5381515005078003e-05
481,1.528119291344397e-05
482,1.528614218092994e-05
483,1.528614218092994e-05
484,1.528614218092994e-05
485,1.5386432002551968e-05
486,1.5386432002551968e-05
487,1.5386432002551968e-05
488,1.5386432002551968e-05
489,1.5386432002551968e-05
490,1.5386432002551968e-05
491,1.5386432002551968e-05
492,1.5386432002551968e-05
493,1.5386432002551968e-05
494,1.5386432002551968e-05
495,1.5386432002551968e-05
496,1.742888365926766e-05
497,1.528119291344397e-05
498,1.528119291344397e-05
499,1.4596851057410973e-05
500,1.450170777867369e-05
501,1.450170777867369e-05
502,1.4596851057410973e-05
503,1.450170777867369e-05
504,1.450170777867369e-05
505,1.450170777867369e-05
506,1.528614218092994e-05
507,1.742888365926766e-05
508,1.742888365926766e-05
509,1.7435276888931866e-05
510,1.7435276888931866e-05
511,2.1759700814540415e-05
512,1.5392002700836768e-05
513,1.5386432002551968e-05
514,1.742888365926766e-05
515,2.175274713002658e-05
516,2.4320310640051443e-05
517,2.063646788897246e-05
518,2.063646788897246e-05
519,2.063646788897246e-05
520,2.416951296445615e-05
521,3.07389234263685e-05
522,2.4161687485453604e-05
523,2.4161687485453604e-05
524,2.4161687485453604e-05
525,2.416951296445615e-05
526,2.050187167904926e-05
527,2.7335828905399016e-05
528,2.4161687485453604e-05
529,2.4161687485453604e-05
530,2.4161687485453604e-05
531,2.4161687485453604e-05
532,3.07389234263685e-05
533,2.7335828905399016e-05
534,2.4161687485453604e-05
535,2.4161687485453604e-05
536,2.4161687485453604e-05
537,2.4154903352935915e-05
538,1.528119291344397e-05
539,1.528119291344397e-05
540,1.3667914452699508e-05
541,1.528119291344397e-05
542,1.4401839923705309e-05
543,1.528119291344397e-05
544,9.66780518578246e-06
545,1.0805435133716044e-05
546,9.728124256020577e-06
547,9.728124256020577e-06
548,9.731234038273982e-06
549,1.4592186384030865e-05
550,1.5381515005078003e-05
551,1.5381515005078003e-05
552,1.45881424605903e-05
553,1.45881424605903e-05
554,1.9450856614120398e-05
555,1.9456248512041154e-05
556,1.528614218092994e-05
557,1.528614218092994e-05
558,1.4592186384030865e-05
559,1.528119291344397e-05
560,1.4592186384030865e-05
561,1.5381515005078003e-05
562,1.528119291344397e-05
563,1.528119291344397e-05
564,1.5381515005078003e-05
565,1.5381515005078003e-05
566,1.5381515005078003e-05
567,1.4596851057410973e-05
568,1.5381515005078003e-05
569,1.5386432002551968e-05
570,1.5386432002551968e-05
571,1.4592186384030865e-05
572,1.4592186384030865e-05
573,1.4596851057410973e-05
574,1.5276902251303107e-05
575,1.45881424605903e-05
576,1.45881424605903e-05
577,1.5381515005078003e-05
578,1.5381515005078003e-05
579,1.7418348518577498e-05
580,1.7418348518577498e-05
581,2.1746718804887307e-05
582,2.1746718804887307e-05
583,2.1746718804887307e-05
584,2.1746718804887307e-05
585,2.1746718804887307e-05
586,1.5381515005078003e-05
587,1.5381515005078003e-05
588,1.5381515005078003e-05
589,2.1746718804887307e-05
590,2.1746718804887307e-05
591,2.1746718804887307e-05
592,1.5381515005078003e-05
593,1.5381515005078003e-05
594,2.7335828905399016e-05
595,2.7335828905399016e-05
596,1.599955807210232e-05
597,1.599955807210232e-05
598,1.599955807210232e-05
599,1.599955807210232e-05
600,1.599955807210232e-05
601,1.599955807210232e-05
602,1.599955807210232e-05
603,1.599955807210232e-05
604,1.599955807210232e-05
605,1.599955807210232e-05
606,1.599955807210232e-05
607,1.599955807210232e-05
608,1.599955807210232e-05
609,1.599955807210232e-05
610,1.599955807210232e-05
611,1.599955807210232e-05
612,1.599955807210232e-05
613,1.599955807210232e-05
614,1.599955807210232e-05
615,1.599955807210232e-05
616,1.599955807210232e-05
617,1.599955807210232e-05
618,1.599955807210232e-05
619,1.599955807210232e-05
