Dot Number,Position,Metric1,Metric2,Metric3,Metric4
2,top right,1.25,1.25,0.0022,0.49
2,top right,1.34,1.34,0.0028,3.31
2,top right,1.24,1.24,0.0021,8.64
2,top right,1.3,1.3,0.0028,5.69
2,top right,1.25,1.25,0.0022,5.49
2,top right,1.36,1.36,0.0032,3.29
2,top right,1.42,1.42,0.0033,4.75
2,top right,1.25,1.25,0.0023,3.74
2,top right,1.27,1.27,0.0024,-0.4
2,top right,1.32,1.32,0.0028,4.8
2,top right,1.28,1.28,0.0026,2.9
2,top right,1.27,1.27,0.0024,5.39
2,top right,1.27,1.27,0.0026,0.1
2,top right,1.38,1.38,0.0034,5.03
2,top right,1.36,1.36,0.0033,2.91
2,top right,1.17,1.17,0.0016,6.65
2,top right,1.37,1.37,0.0033,2.1
2,top right,1.37,1.37,0.0031,2.28
2,top right,1.27,1.27,0.0024,2.67
2,top right,1.45,1.45,0.0039,-0.95
2,top right,1.29,1.29,0.0026,5.66
2,top right,1.28,1.28,0.0025,2.39
2,top right,1.3,1.3,0.0028,0.7
2,top right,1.41,1.41,0.0035,-0.86
2,top right,1.3,1.3,0.0029,1.06
2,top right,1.25,1.25,0.0026,1.81
2,top right,1.26,1.26,0.0024,0.23
2,top right,1.2,1.2,0.0019,2.01
2,top right,1.27,1.27,0.0024,0.54
2,top right,1.25,1.25,0.0023,4.51
2,top right,1.3,1.3,0.0026,5.75
